,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
10,HI,9.02,9.22,9.44,10.66,10.68,11.29,12.12,12.49,11.56,11.97,14.03,14.05,13.39,14.47,15.7,18.33,20.72,21.29,29.2,21.21,25.12,31.59,34.04,33.26,33.43,26.17,23.87,26.05,29.18,28.72
11,IA,5.93,5.94,5.98,5.97,5.92,6.03,5.94,5.97,6.04,5.93,5.93,6.14,6.01,6.11,6.4,6.69,7.01,6.83,6.89,7.37,7.66,7.56,7.71,8.07,8.15,8.35,8.55,8.73,8.92,9.08
12,ID,3.8,3.84,3.87,4.0,4.0,4.09,3.96,4.2,4.25,2.7425,4.17,4.92,5.58,5.22,2.4924999999999997,5.12,4.92,5.07,2.2760000000000002,2.604,2.616,6.44,6.92,7.57,7.93,8.09,8.08,8.26,8.17,7.89
13,IL,7.49,7.63,7.69,7.75,7.41,7.69,7.69,6.265000000000001,6.3999999999999995,4.6000000000000005,5.298,5.05,5.343999999999999,5.086,4.9079999999999995,4.944,5.164,6.384,7.05,6.978,6.92,6.795999999999999,6.508,6.634,7.510000000000001,7.525999999999999,7.484,7.552,7.628,7.598000000000001
14,IN,5.36,5.32,5.3,5.17,5.25,5.24,5.23,5.29,5.34,5.29,5.18,5.3,5.34,5.37,5.58,5.88,6.46,6.5,7.09,7.62,7.67,8.01,8.29,8.73,9.06,8.99,9.22,9.77,9.75,9.91
15,KS,6.57,6.57,6.56,6.6,6.61,6.56,6.52,6.31,6.28,6.22,6.27,6.24,6.31,6.35,6.37,6.55,6.89,6.84,7.45,7.98,8.35,8.89,9.33,9.72,10.16,10.14,10.49,10.6,10.72,10.26
16,KY,4.48,4.41,4.19,4.32,4.26,4.07,4.03,4.03,4.16,4.17,4.18,4.24,4.26,4.42,4.63,5.01,5.43,5.84,6.26,6.52,6.73,7.17,7.26,7.69,8.15,8.14,8.42,8.57,8.52,8.61
17,LA,6.0,5.94,6.01,6.26,6.05,5.75,6.07,5.99,5.78,5.81,6.48,6.96,5.99,6.93,7.13,8.03,8.3,8.39,9.44,7.06,7.8,7.68,6.9,8.04,8.09,7.65,7.46,7.79,7.71,7.71
18,MA,8.85,9.53,9.66,9.98,10.0,10.12,10.13,7.540000000000001,9.59,6.3375,7.072,8.958,7.736,8.0,8.218,9.532,12.073999999999998,12.035999999999998,12.815999999999999,12.18,11.482000000000003,11.26,10.966000000000001,11.484,12.1,13.352,13.168000000000001,13.709999999999999,14.780000000000001,14.692000000000002
19,MD,6.3,6.81,6.8,6.96,7.03,7.06,6.96,6.98,6.99,7.04,6.104,5.318,4.946,5.142000000000001,5.6259999999999994,6.36,7.8260000000000005,8.998000000000001,10.120000000000001,10.086000000000002,9.862,9.388000000000002,8.884,9.172,9.546000000000001,9.506,9.585999999999999,9.415999999999999,9.08,8.778
