STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MO,2192115.0,1119389.0,1481265.0,3184483.0,1916293.0,1918507.0,1313738.0,1593309.0,2346585.0,1853065.0,599920.0,1104134,1356927,652477,1479912,1159326,199214,1204327,2046773,1816692,1539347,1185144,714268,1136427,699766,1595021,1237399,1399751,1399238,763573,578368
MT,10716817.0,11970007.0,8270838.0,9614088.0,8149507.0,10745853.0,13794931.0,13406494.0,11117940.0,13822062.0,9623257.0,6613477,9566911,8701772,8856031,9587351,10130162,9364335,9999558,9505940,9414661,12595880,11283466,9638259,11214709,9887731,10183481,10560809,10728967,9409070,6849561
NC,6819427.0,5850120.0,5768453.0,4987070.0,7192276.0,5520810.0,5952177.0,5625884.0,5738207.0,3684186.0,3137816.0,2595706,3492048,7200943,5435200,5396501,3839011,2984158,3033642,5171257,4756550,3893396,3727939,6900533,5106573,4742005,4529492,4716110,5001487,6207177,4257025
ND,1711148.0,1756684.0,1698854.0,1415110.0,1856461.0,2457401.0,3150873.0,3319577.0,2295948.0,2609159.0,2122561.0,1332076,1592616,1723904,1545864,1341824,1521034,1305393,1252790,1475251,2042118,2580042,2477230,1852421,2531360,2094168,1912005,2036458,2522735,2801160,2086088
NE,1140093.0,1044671.0,1075446.0,1001663.0,1311883.0,1426058.0,1601919.0,1672419.0,1682834.0,1719030.0,1500724.0,1124122,1097481,980110,913021,871475,893386,347444,346455,433689,1313857,1617228,1257055,1123916,1203884,1684981,1724754,1593535,1481975,1159956,842028
NH,1881087.0,1585286.0,1393631.0,1410609.0,1461327.0,1369890.0,1919205.0,1621591.0,1596748.0,1411282.0,1427214.0,990579,1140937,1331269,1315757,1798904,1528910,1265229,1633224,1680493,1477585,1604811,1289385,1427198,1360722,1270221,1120801,1287623,1640984,1232814,865263
NJ,31351.0,21598.0,22380.0,19005.0,15083.0,10955.0,19033.0,18371.0,20670.0,17303.0,14036.0,18002,12029,38889,37500,31113,35434,20908,25773,32081,18120,24408,10756,18275,26078,9542,20073,25916,35538,26468,11751
NM,205435.0,237108.0,255046.0,293827.0,212890.0,263920.0,211499.0,258810.0,236412.0,242710.0,221152.0,237321,264591,170699,138948,164993,198212,267978,312289,270963,217011,194766,222820,91838,141718,99471,145929,249686,192695,132733,85706
NV,1735081.0,2365050.0,1985691.0,1972180.0,1875889.0,1941534.0,2164467.0,2586974.0,3166325.0,2827671.0,2429468.0,2513722,2267588,1756705,1615123,1702379,2057628,2003192,1750620,2460596,2157297,2190582,2440417,2681944,2409233,2264136,1766639,1793114,1887653,2233346,1209232
NY,28188222.0,27172120.0,28056647.0,29443296.0,27791257.0,25993197.0,28951250.0,30617995.0,29315778.0,24752318.0,24909572.0,23083954,25047894,24268660,23989661,25782519,27344657,25252556,26723131,27615108,25471695,27996988,24652496,24973288,25546829,26014519,26604000,29065182,30910609,29540508,18194140
OH,181395.0,154224.0,253165.0,189613.0,191771.0,232221.0,397354.0,507368.0,406427.0,423031.0,583048.0,510785,488330,510834,729876,515745,631936,410436,386435,527747,429026,383654,414160,549238,404409,456669,517486,553225,565064,254588,172358
OK,2730594.0,1922137.0,3241701.0,4357456.0,2514648.0,2779920.0,2157775.0,2921206.0,3508748.0,3175399.0,2276933.0,2344691,1987844,1798412,2976676,2630362,623577,3065861,3811274,3552573,2808789,1506943,1145513,2178078,1546422,2663900,2381661,2860801,2391743,1823671,1305599
OR,41240367.0,41088337.0,31718535.0,35864080.0,31220298.0,40764465.0,44906458.0,46703700.0,39902167.0,45639050.0,38115630.0,28644552,34413166,33250331,33080818,30948345,37850298,33587440,33805026,33033513,30542260,42314820,39410180,33097665,34938656,31253849,33699960,36642562,36729205,29525527,21024981
PA,2869192.0,1920358.0,2577615.0,2376466.0,2749785.0,2030207.0,3012078.0,2249115.0,2381352.0,1946598.0,2290232.0,1650004,2210562,3346268,3155337,2232179,2844143,2235981,2548860,2682864,2332201,3217216,2241919,2524674,2725429,2603703,2376225,2724431,3530419,4039747,2624286
RI,9946.0,9946.0,9946.0,9385.0,9349.0,9169.0,10367.0,7509.0,8676.0,6050.0,4867.0,3143,3684,6020,5460,6736,5908,4364,4977,4737,3707,7409,4267,4448,4053,3149,3071,2372,4100,3640,2700
SC,3298066.0,3111318.0,3310446.0,2950139.0,3034952.0,3457143.0,3041064.0,2958153.0,3569417.0,1687351.0,1533490.0,1225444,1389752,3665425,2446909,2938146,1806948,1555912,1123114,2332007,2376442,1554183,1420271,3160274,2806197,2564361,2399400,2704375,2555149,2836321,1995221
SD,3934402.0,3828116.0,3612010.0,2591115.0,5128760.0,6009871.0,7977670.0,9012260.0,5757600.0,6677303.0,5715508.0,3431865,4353653,4276303,3597509,3074566,3396833,2917283,2993107,4432451,5238801,6608164,5980964,4062608,5499657,4850486,4134463,4495380,5164548,5619584,4090903
TN,10015363.0,10872944.0,10011047.0,8954227.0,12027959.0,9628551.0,11466983.0,11037998.0,10806028.0,7801957.0,6396209.0,6946529,7973662,12003646,10408114,9309541,7748650,4939601,5646075,10211964,8137793,9575641,8295662,12443283,9589010,9581240,7418297,7613828,9685084,9857011,6414959
TX,1793625.0,2224581.0,2638164.0,1786405.0,1530436.0,1703348.0,959842.0,1790750.0,1424821.0,1120206.0,828963.0,1200334,1123494,896539,1300609,1332560,661970,1644435,1039468,1028658,1261833,563055,584476,480042,566154,956411,1103274,1585596,1432860,998163,760585
UT,508443.0,626965.0,602384.0,860019.0,750438.0,968743.0,1048957.0,1344161.0,1314711.0,1255142.0,746125.0,508406,457732,421338,449849,784463,746783,538781,668086,835257,695511,1230165,747787,504994,632812,768772,816403,818620,1273062,781046,556184
VA,1309499.0,1080055.0,1089975.0,1313303.0,1146116.0,995026.0,1428502.0,1020276.0,1283295.0,681687.0,711983.0,1014223,868217,1781570,1583051,1484353,1351195,1248263,1010992,1478629,1500181,1210390,1043774,1253668,1281803,1158427,1525612,1617204,1450118,1551145,1121235
VT,1365031.0,1052719.0,921498.0,981286.0,1038653.0,972657.0,1231384.0,1067442.0,1194049.0,1195696.0,1221090.0,884213,1114923,1154037,1187258,1210811,1518666,646605,1492904,1485825,1346887,1424733,1109205,1285912,1126752,1139498,1056302,1210670,1391605,1198300,794166
WA,87466708.0,89342397.0,68324659.0,67312383.0,65575487.0,82500153.0,98517855.0,104170551.0,79814652.0,96989382.0,80262889.0,54733896,78166665,71756784,71575699,72074650,82007629,78829196,77636757,72932704,68288382,91817702,89464355,78155087,78700040,73404917,76842756,82824584,81576069,66181159,48686521
WI,2014412.0,2516633.0,2401605.0,2486587.0,2228309.0,2378472.0,2696014.0,2483293.0,1747424.0,1984594.0,1985634.0,2056245,2515016,1843294,1980672,1740220,1678598,1516082,1616142,1393988,2111852,2146911,1522236,1978873,2078231,2340681,2404814,2844893,2583343,1992705,1440198
WV,1295051.0,1065385.0,1271063.0,1114101.0,1145635.0,1192679.0,1425035.0,1138769.0,1086344.0,930255.0,1150903.0,951943,1065737,1356029,1318279,1447564,1572434,1254397,1248038,1645926,1367362,1453110,1431440,1738776,1344547,1385043,1409664,1768583,1787838,1776365,1137549
WY,644613.0,735932.0,635640.0,787427.0,897209.0,798503.0,1231797.0,1380713.0,1342322.0,1170225.0,1011035.0,879111,583613,593555,593148,808375,843315,729424,835275,966571,1023887,1223730,893469,710879,837724,868261,997810,1035667,1108696,820100,580614
