State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AL,2.0,0.6320754716981132,18.29,9.077669902912621,13.333333333333334,0.5294117647058824,0.3564356435643564,0.0,0.6483516483516484,1.3617021276595744,6.657407407407407,10.25263157894737,31.13274336283186,137.3846153846154,0.23076923076923078,8.090909090909092,81.72727272727273,108.88888888888889,3.3
AK,1522.360465116279,2563.230769230769,2016.7564102564102,2429.1857142857143,1954.0123456790122,1897.8875,2150.985294117647,1731.9714285714285,2475.732558139535,2363.3932584269664,2926.25641025641,2384.2065217391305,1871.4255319148936,2635.383333333333,2617.189655172414,2756.2,1182.050847457627,1371.578947368421,1057.7230769230769
AZ,247.8045112781955,154.82191780821918,208.0,277.7348484848485,87.5,176.64335664335664,171.75182481751824,303.0103092783505,276.93617021276594,186.98181818181817,401.5,212.95945945945945,372.5315315315315,577.75,609.7209302325581,423.57142857142856,159.7704918032787,492.10714285714283,445.0
AR,6.986486486486487,33.98639455782313,217.36363636363637,25.746478873239436,92.73287671232876,111.47826086956522,78.5,19.693693693693692,26.44927536231884,28.092198581560282,163.0,18.192592592592593,213.85915492957747,265.4117647058824,126.94117647058823,63.64705882352941,126.53061224489795,186.10619469026548,31.28205128205128
CA,405.8217821782178,302.9009584664537,222.08455882352942,422.6578947368421,310.0503597122302,291.521897810219,275.0492957746479,261.87394957983196,417.8008658008658,217.308,426.46120689655174,289.1075697211155,501.36802973977694,808.8909090909091,758.9310344827586,222.7093023255814,333.0,284.2823529411765,478.7857142857143
CO,1394.1775147928995,1384.9378531073446,1371.6235294117646,1458.5737704918033,1061.544502617801,1494.1851851851852,1380.6162361623617,1434.5034013605443,1758.7784431137725,1576.8853868194842,1559.7912087912089,1780.8974358974358,1662.2056074766356,1942.9710144927535,1222.423611111111,1939.9597315436242,1812.7611111111112,1910.0777777777778,1812.64161849711
CT,241.13333333333333,515.0588235294117,808.9230769230769,1195.1818181818182,745.7857142857143,1760.7,878.6428571428571,1868.5,962.3333333333334,843.2142857142857,968.9090909090909,1150.5555555555557,911.8,2153.3333333333335,837.75,1554.8,1372.2,1711.8,934.4
DE,41.5,110.5,488.4,249.25,238.83333333333334,967.5,203.5,630.75,209.4,252.66666666666666,70.4,610.25,1447.0,595.3333333333334,133.0,426.0,1135.0,504.6666666666667,645.0
FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GA,2.0,4.794392523364486,20.824074074074073,0.9532710280373832,26.2,4.632,7.976190476190476,3.485148514851485,4.458715596330276,5.785046728971962,10.551020408163266,13.376344086021506,62.8099173553719,76.42105263157895,0.1875,3.5,52.53333333333333,14.066666666666666,8.8
HI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
ID,953.8214285714286,1152.1022727272727,1086.493670886076,1308.1927710843374,1012.7252747252747,938.1379310344828,1151.7037037037037,918.8493150684932,1151.6785714285713,1107.5915492957747,1855.5072463768115,1010.9,1144.7261904761904,990.0714285714286,1053.6875,791.7413793103449,1022.2549019607843,797.6774193548387,1115.6341463414635
IL,258.0974358974359,596.4869109947643,850.9791666666666,153.79245283018867,463.04186046511626,484.9947368421053,418.3448275862069,483.3011363636364,306.20574162679424,636.5088495575221,836.9324324324324,626.3177570093458,706.2692307692307,688.6037735849056,382.2456140350877,855.0958904109589,1090.2777777777778,899.2816901408451,458.6896551724138
