MA,68.9,119.6,156.5,127.1,75.1,106,108.2,156.4,221.3,461.2,522.1,727.8,814.9,1157,915,1099.2,1502.1,977.7,1559.4,239.82,252.28,230.09
MS,0,0,0,0,0,0,0,0,0,32.5,20.4,102.3,293.2,172.2,0,394.2,386.8,446.1,424.2,239.82,252.28,230.09
UT,0,0,0,0,0,0,45.1,40.4,55.3,64.2,0,0,0,56.2,0,0,0,1.9,3.2,239.82,252.28,230.09
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.82,252.28,230.09
NH,0,0,45.2,31.9,27.9,36,49.5,85.4,95,100.5,215.7,193.5,386.9,468.6,206.5,203.4,123.5,315.2,367.9,239.82,252.28,230.09
SD,0,0,0,0.7,0.8,0.9,2.2,3.8,2.9,3.6,4.9,0,0,0,0,0,0,0,0,239.82,252.28,230.09
NE,0,0,0,0,0,0,0,0,0,0,4.6,0,7.9,0,0,2.3,0,0,0,239.82,252.28,230.09
VA,39,0,72.5,216.4,223.5,125.2,133,132.7,135.7,150.8,191.4,260.6,311.3,412.6,628.5,1040,714.3,582.8,840.2,239.82,252.28,230.09
WV,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0,0,20,30,0,0,239.82,252.28,230.09
CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.82,252.28,230.09
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.82,252.28,230.09
GA,0,186.8,290.4,0,0,25,0,32.9,57.4,129.3,203.9,340.2,0,0,221,274,225.8,226.6,248.5,239.82,252.28,230.09
CT,0,19,0,0,0,0,12.5,17.6,35.1,138.7,102.1,319.8,250.5,309.9,128,118.1,117,122.3,285.3,239.82,252.28,230.09
TX,2226.4,2216.5,1672.6,1265.1,1187.8,1261,1679.2,1986.8,2442,2479,2404.5,2191.7,1976.2,2018,2062.1,2027.5,1907,2070,2444.4,239.82,252.28,230.09
HI,1031.8,1046.2,972.2,1125.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280.3,239.82,252.28,230.09
