STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0,459.0,395.0,4267.0,13580.0,13132.0,8649.0,14724.0,14145.0,15753.0,83349.0,955443.0,2111436.0,3101425.0,3456607.0,3752927.0,4737100.0,5170637.0,5108424.0,3565819.0
CA,366668.0,471361.0,399260.0,462078.0,486318.0,496565.0,520945.0,510956.0,502339.0,494996.0,493334.0,542271.0,554372.0,533606.0,570890.0,536713.0,494572.0,556969.0,670481.0,647390.0,769332.0,888829.0,1382300.0,3813723.0,9890949.0,14814384.0,19030396.0,23100169.0,26950988.0,28620252.0,19100573.0
TX,385.0,371.0,369.0,366.0,293.0,253.0,260.0,212.0,134.0,86.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VA,34.0,33.0,11.0,8.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
