STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CA,14521254.0,14784796.0,14771487.0,14948113.0,13660402.0,11450299.0,12340104.0,12716193.0,12839684.0,13045715.0,12308471.0,12181294,13073616,12981761,13105307,13022640,12821433,12990712,12882999,12852783,12600099,12552383,12518999,12306569,12594683,11883134,12468847,11623582,12026768,11406526,6740811
HI,0.0,0.0,2134.0,152249.0,185318.0,234521.0,241985.0,245390.0,237083.0,210857.0,262053.0,206592,72761,178292,213288,221597,212276,229886,234333,167591,200595,223888,260997,274841,253841,230340,260102,251823,322330,108029,74062
NV,761192.0,995408.0,1177972.0,1540055.0,1494930.0,1553696.0,1554683.0,1596001.0,1537094.0,1414912.0,1370791.0,1199873,1127283,1065711,1297504,1262707,1343712,1252691,1382821,1633212,2069729,2146120,2347465,2669953,3005712,3110505,3848199,3364691,3629936,3767768,2248974
UT,151825.0,186241.0,186369.0,148148.0,194804.0,139742.0,191912.0,168518.0,160057.0,155530.0,151843.0,152742,217652,198465,194876,184802,190608,163925,254277,279121,276949,330188,334638,318908,522092,429518,530058,462659,469049,445335,249008
