STATE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MS,738971.0,396188.0,413903.0,3600540.0,1124155.0,37780.0,1194929.0,2644220.0,5425222.0,3145053.0,2981530.0,5143689,30301,1631855,2776859,1444848,398709,399371,76280,16599,81500,36341,17083,13983,14326,14130,17448,11902,28504,13713,4856
MT,28982.0,19654.0,16956.0,22069.0,20122.0,168054.0,444948.0,436632.0,426731.0,486959.0,519891.0,497613,469659,402164,439137,414875,419125,478677,419150,490432,408501,460626,466972,462303,423279,496424,459985,458322,446228,464887,262205
NC,328025.0,275785.0,335046.0,407255.0,452234.0,479618.0,547831.0,496509.0,691314.0,662070.0,825831.0,655744,592026,783694,610909,518870,451138,495689,320222,296859,293371,217636,178260,217572,427036,434586,284090,230615,496651,231912,87117
ND,41547.0,52646.0,55282.0,61118.0,60860.0,57691.0,102021.0,94227.0,64524.0,54921.0,60957.0,47886,38576,51891,38430,34265,42078,50817,49092,45015,38221,42118,33154,33134,26480,26460,30452,36107,38647,33553,20206
NE,12981.0,13459.0,9482.0,19035.0,18201.0,26679.0,19973.0,31059.0,42607.0,29623.0,54659.0,28190,20548,48851,21869,31005,19317,35767,34655,22870,30850,37207,22586,42561,44539,6115,6405,7563,7264,18845,9457
NH,2346493.0,1592175.0,1413274.0,1304573.0,1420578.0,1064756.0,895744.0,1069822.0,1453854.0,1572013.0,471328.0,481677,649708,2044528,1960450,1357145,439192,384796,136282,183081,71682,77505,21651,104513,296927,175564,30047,104917,181663,29803,11412
NJ,2094969.0,2151098.0,1308375.0,1475224.0,2356728.0,1722288.0,1241111.0,768045.0,729873.0,792470.0,1085276.0,1296627,730633,1541553,1424853,940463,269519,452770,325312,278190,235004,165589,70783,161600,512662,374935,165782,143738,326225,153061,45160
NM,35626.0,33012.0,37159.0,43290.0,25696.0,27746.0,27397.0,22998.0,27476.0,43881.0,88111.0,66212,33089,50670,31375,36910,41486,44470,52588,44611,49869,37801,46151,57848,64665,62960,49646,44634,20458,32231,16915
NV,284108.0,242477.0,327585.0,326981.0,167680.0,26553.0,95980.0,31945.0,51532.0,35477.0,64794.0,911628,25472,16793,95770,20499,17346,11449,14270,16185,11158,14214,18875,18890,15346,15982,10988,8747,10245,12344,3496
NY,33884855.0,28220555.0,18319258.0,15072965.0,12030378.0,8268290.0,9716598.0,8588376.0,14900782.0,13304192.0,14945179.0,16512093,11534111,19291599,21205199,24012782,6778040,8195110,3745328,2648307,2004977,1189482,580285,1007374,2128838,1892292,654462,654976,1477290,491615,107943
OH,374481.0,427742.0,258124.0,346002.0,424488.0,330064.0,303872.0,293908.0,370838.0,483998.0,354412.0,416699,389119,410153,1388281,1390391,1354555,1147745,1437937,1311744,1442422,1388434,1281132,1385889,1275989,1317027,1184033,772322,1096414,930539,711985
OK,76947.0,46069.0,51626.0,56319.0,42621.0,98685.0,140206.0,26792.0,13892.0,16625.0,52920.0,175176,49871,161210,68312,70339,63749,160488,22536,9462,18088,15551,10944,10211,12761,10812,18196,16097,17982,17356,11887
OR,27777.0,11000.0,10655.0,33668.0,7296.0,5027.0,7957.0,13377.0,33632.0,8029.0,68212.0,102223,6706,44098,62932,78188,11821,14286,14793,7956,3421,7954,5926,6152,10436,6066,4889,10335,4950,4782,1530
PA,4654522.0,4125862.0,2648000.0,5013320.0,5824309.0,3647599.0,3591002.0,2705109.0,4506729.0,3496238.0,3748155.0,3562588,2732946,4535336,4141814,4939562,1518458,1484072,937924,915088,571344,441724,283393,460071,806470,729488,455982,349022,598719,235357,54498
RI,185671.0,94651.0,98919.0,72481.0,85347.0,77073.0,137563.0,89050.0,78306.0,72039.0,59625.0,70003,57533,58359,48520,57168,32676,33951,26335,17132,11659,13641,17875,50541,95155,114272,31957,44332,67341,17835,6785
SC,172575.0,180889.0,158187.0,202239.0,240744.0,257440.0,279207.0,364005.0,451663.0,386565.0,445157.0,308107,300337,456871,871291,618434,236917,217288,180466,523483,190725,111558,108399,103344,260842,193194,117489,88594,275913,96829,40048
SD,8149.0,8427.0,7472.0,12287.0,20731.0,17488.0,8975.0,6536.0,26551.0,24119.0,52214.0,51526,4961,16058,22772,20785,4660,62901,23174,8321,6124,7544,5719,6995,8069,17204,3511,4658,4518,10186,3181
TN,137067.0,172265.0,129598.0,239106.0,312128.0,257385.0,260081.0,197610.0,706174.0,515575.0,562170.0,400064,269613,405810,190814,230526,160222,232097,215684,186929,216903,195261,144480,130498,182389,135133,120702,123830,128248,141058,69106
TX,1827803.0,1492995.0,1628161.0,1854468.0,1959891.0,1607795.0,1911860.0,1523836.0,1580092.0,1750919.0,2815642.0,2803403,1620963,2515257,1728906,1582696,1789183,1308903,1033521,1404606,708481,976806,1484204,950801,283281,241565,200721,177554,134198,161956,75939
UT,51852.0,51314.0,33635.0,36586.0,33100.0,35934.0,47420.0,46947.0,34948.0,30664.0,57971.0,57575,53520,32866,32600,40908,62126,39147,43614,36056,50358,53950,39788,26002,25182,19731,31165,38558,35669,40167,22322
VA,1438264.0,2353996.0,1852865.0,2500809.0,2890191.0,1600679.0,1275247.0,2770044.0,2926054.0,3362738.0,2938544.0,5461612,3792604,5780336,5153611,4264658,839213,2096949,1150360,1087662,1292860,502645,363968,313287,1195194,1107834,536686,439555,849976,302212,104332
VT,2543.0,5244.0,2688.0,5029.0,6354.0,13484.0,3757.0,11206.0,42295.0,24978.0,60880.0,31740,9406,22607,17800,10179,7372,7810,4266,2439,4508,8159,3419,5103,11160,3056,1574,6097,6064,1147,718
WA,42981.0,31164.0,25745.0,59434.0,45419.0,178915.0,187236.0,228589.0,87043.0,51495.0,484512.0,320359,73302,66589,85885,67295,38230,37041,35189,53605,32477,37146,26712,24362,23185,21671,20385,22724,24649,19666,11263
WI,179457.0,164243.0,155249.0,335556.0,429663.0,385164.0,363767.0,410749.0,491495.0,541422.0,447437.0,447782,422677,472786,795617,746510,877187,1013413,931159,712451,718301,582360,317568,303056,312890,207752,146166,142997,126100,136230,70836
WV,325675.0,253047.0,241211.0,236934.0,271890.0,212778.0,231610.0,189598.0,200945.0,192990.0,262753.0,278676,297587,247897,267559,223292,174884,199920,137200,169317,154557,188482,143447,149831,163162,140212,122668,119779,158885,128387,85518
WY,49205.0,61417.0,58483.0,66381.0,53571.0,70305.0,62921.0,63481.0,45631.0,48699.0,38166.0,36096,40105,44921,45859,42303,45937,47222,44026,50182,56146,55451,51853,39306,37809,44900,45360,43521,40371,43645,23081
